API Name,Environment,Current Version Supported,Description,More Details
/v2/patientaccess/AllergyIntolerance 2.0.0,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to all allergies/adverse reactions for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_AllergyIntolerance.yaml
/v2/patientaccess/AllergyIntolerance/{id} 2.0.0,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to a allergies/adverse reaction by Allergy Intolerance ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_AllergyIntolerance_id.yaml
/v2/patientaccess/Basic 2.0.0,Production,DaVinci Payer Data Exchange (PDex) US Drug Formulary 2.0.0,"Access to Information that describes Drug’s relationship to its Drug Plan, including drug tier, prior authorization requirements.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Basic.yaml
/v2/patientaccess/Basic/{id} 2.0.0,Production,DaVinci Payer Data Exchange (PDex) US Drug Formulary 2.0.0,Access to a specific Formulary Information associated with a Drug in relation to its Health Plan based on a unique ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Basic_id.yaml
/v2/patientaccess/Binary/{id} 2.0.0,Production,FHIR 4.0.1,"Access to a Binary (represents the data of a single raw artifact as digital content accessible in its native format. A Binary resource can contain any content, whether text, image, pdf, zip archive, etc.) Resource details by its FHIR ID.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Binary_id.yaml
/v2/patientaccess/CarePlan 2.0.0,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to all assessment and plan of treatment data for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_CarePlan.yaml
/v2/patientaccess/CarePlan/{id} 2.0.0,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to a assessment and plan of treatment data by Care Plan ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_CarePlan_id.yaml
/v2/patientaccess/CareTeam 2.0.0,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to all Care Team members for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_CareTeam.yaml
/v2/patientaccess/CareTeam/{id} 2.0.0,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to a Care Team data by Care Team ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_CareTeam_id.yaml
/v2/patientaccess/Condition 2.0.1,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to all Condition data (such as diagnosis) tied to the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Condition.yaml
/v2/patientaccess/Condition/{id} 2.0.1,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to a Condition data (such as diagnosis) by Condition ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Condition_id.yaml
/v2/patientaccess/Coverage 2.0.0,Production,CARIN Blue Button Implementation Guide (v1.0.0),"Access to all Coverage data (plan name, type, effective dates, etc.) for authenticated user.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Coverage.yaml
/v2/patientaccess/Coverage/{id} 2.0.0,Production,CARIN Blue Button Implementation Guide (v1.0.0),"Access to a Coverage data (plan name, type, effective dates, etc.) by Coverage ID.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Coverage_id.yaml
/v2/patientaccess/Device 2.0.0,Production,"DaVinci Payer Data Exchange Implementation Guide (v1.0.0: STU 1), US Core Implementation Guide (v3.1.1: STU 3)",Access to all Device data for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Device.yaml
/v2/patientaccess/Device/{id} 2.0.0,Production,"DaVinci Payer Data Exchange Implementation Guide (v1.0.0: STU 1), US Core Implementation Guide (v3.1.1: STU 3)",Access to a Device data by Device ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Device_id.yaml
/v2/patientaccess/DiagnosticReport 2.0.1,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to all Diagnostic data (such as lab) tied to the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_DiagnosticReport.yaml
/v2/patientaccess/DiagnosticReport/{id} 2.0.1,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to Diagnostic data (such as lab) by Diagnostic Report ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_DiagnosticReport_id.yaml
/v2/patientaccess/DocumentReference 2.0.0,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to all patient documents including Clinical Notes for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_DocumentReference.yaml
/v2/patientaccess/DocumentReference/{id} 2.0.0,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to a patient document by DocumentReference ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_DocumentReference_id.yaml
/v2/patientaccess/Encounter 2.0.1,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to all clinical-encounter data for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Encounter.yaml
/v2/patientaccess/Encounter/{id} 2.0.1,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to a clinical-encounter data by Encounter ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Encounter_id.yaml
/v2/patientaccess/Endpoint/{id} 2.0.0,Production,FHIR 4.0.1,"Access to an EndPoint (The technical details of an endpoint that can be used for electronic services, such as for web services providing XDS.b or a REST endpoint for another FHIR server) Resource details by its FHIR ID.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Endpoint_id.yaml
/v2/patientaccess/ExplanationOfBenefit 2.0.0,Production,CARIN Blue Button Implementation Guide (v1.0.0),Search of claim data for authenticated member - also supports searches by date range & claim type.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_ExplanationOfBenefit.yaml
/v2/patientaccess/ExplanationOfBenefit/{id} 2.0.0,Production,CARIN Blue Button Implementation Guide (v1.0.0),Access a claim data for authenticated member.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_ExplanationOfBenefit_id.yaml
/v2/patientaccess/Goal 2.0.0,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to all goal information for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Goal.yaml
/v2/patientaccess/Goal/{id} 2.0.0,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to a goal information by Goal ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Goal_id.yaml
/v2/patientaccess/Immunization 2.0.1,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to all Immunization data for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Immunization.yaml
/v2/patientaccess/Immunization/{id} 2.0.1,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to a Immunization data by Immunization ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Immunization_id.yaml
/v2/patientaccess/InsurancePlan 2.0.0,Production,DaVinci Payer Data Exchange (PDex) US Drug Formulary 2.0.0,Access to Health Insurance Plan provided by an organization.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_InsurancePlan.yaml
/v2/patientaccess/InsurancePlan/{id} 2.0.0,Production,DaVinci Payer Data Exchange (PDex) US Drug Formulary 2.0.0,Access to a Health Insurance Plan provided by an organization based on the unique logical ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_InsurancePlan_id.yaml
/v2/patientaccess/Location 2.0.0,Production,DaVinci Payer Data Exchange (PDex) US Drug Formulary 2.0.0,Access to Locations describing geographic regions or are where the insurance plan coverage is available.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Location.yaml
/v2/patientaccess/Location/{id} 2.0.0,Production,"US Core Implementation Guide (v3.1.1: STU 3), DaVinci Payer Data Exchange (PDex) US Drug Formulary 2.0.0","Access to Location information associated with a patient, provider, organization or describing a geographic region or are where the insurance plan coverage is available based on a unique ID.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Location_id.yaml
/v2/patientaccess/Medication/{id} 2.0.0,Production,US Core Implementation Guide (v3.1.1: STU 3),Access a medication associated with the patient by Medication ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Medication_id.yaml
/v2/patientaccess/MedicationDispense 2.0.0,Production,"DaVinci Payer Data Exchange Implementation Guide (v1.0.0: STU 1), US Core Implementation Guide (v3.1.1: STU 3)",Access to all MedicationDispenses associated with an Authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_MedicationDispense.yaml
/v2/patientaccess/MedicationDispense/{id} 2.0.0,Production,"DaVinci Payer Data Exchange Implementation Guide (v1.0.0: STU 1), US Core Implementation Guide (v3.1.1: STU 3)",Access to a MedicationDispense by MedicationDispense ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_MedicationDispense_id.yaml
/v2/patientaccess/MedicationKnowledge 2.0.1,Production,DaVinci Payer Data Exchange (PDex) US Drug Formulary 2.0.0,Access to information for a drug to be retrieved when referenced from a Formulary or Medication Request.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_MedicationKnowledge.yaml
/v2/patientaccess/MedicationKnowledge/{id} 2.0.1,Production,DaVinci Payer Data Exchange (PDex) US Drug Formulary 2.0.0,Access to information for a specific drug on a Formulary or Medication Request by Medication Knowledge ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_MedicationKnowledge_id.yaml
/v2/patientaccess/MedicationRequest 2.0.1,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to all Medication Request data for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_MedicationRequest.yaml
/v2/patientaccess/MedicationRequest/{id} 2.0.1,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to a Medication Request data by Medication Request ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_MedicationRequest_id.yaml
/v2/patientaccess/Observation 2.0.1,Production,"DaVinci Payer Data Exchange Implementation Guide (v1.0.0: STU 1), US Core Implementation Guide (v3.1.1: STU 3)","Access to all Observation data (such as vital signs, pulse oximetry, etc.) for the authenticated member.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Observation.yaml
/v2/patientaccess/Observation/{id} 2.0.1,Production,"DaVinci Payer Data Exchange Implementation Guide (v1.0.0: STU 1), US Core Implementation Guide (v3.1.1: STU 3)","Access to a Observation data (such as vital signs, pulse oximetry, etc.) by Observation ID.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Observation_id.yaml
/v2/patientaccess/Organization/{id} 2.0.1,Production,CARIN Blue Button Implementation Guide (v1.0.0),"Access to a Organization (Healthcare Practice Groups, Hospitals, etc.) data by organization ID.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Organization_id.yaml
